subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id
SI366,2,นโยบายและแผนการจัดการการท่องเที่ยวอย่างยั่งยืน,3,0,None
SI371,2,ภาษาจีนเพื่อการสื่อสารในองค์กร,3,0,None
SI372,2,ภาษาจีนเพื่อการสมัครงาน,3,0,None
SI373,2,การพัฒนาเมืองและชนบทในกลุ่มประเทศอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI374,2,มหาอำนาจกับเอเชียตะวันออกเฉียงใต้,3,0,None
SI375,2,ประชาสังคมและประชาธิปไตยท้องถิ่น,3,0,None
SI376,2,หลักการสื่อสารระหว่างวัฒนธรรม,3,0,None
SI377,2,ภาษาอังกฤษเพื่อธุรกิจท่องเที่ยว,3,1,TU105
SI378,2,จรรยาบรรณวิชาชีพมัคคุเทศก์,3,0,None
SI381,3,เพศสภาวะและเพศวิถี,3,0,None
SI382,3,ศิลปะจีน,3,0,None
SI383,3,ภาษาอังกฤษเพื่อการประกอบอาชีพ,3,0,None
SI384,3,การพัฒนาทักษะการนำเสนอข้อมูลทางสังคมศาสตร์,3,0,None
SI385,3,ประเด็นปัจจุบันด้านความสัมพันธ์ระหว่างประเทศ,3,0,None
SI386,3,ศิลปะกับการจัดการ,3,0,None
SI387,3,สวัสดิการสังคมศึกษา,3,0,None
SI388,3,ภูมิทัศน์วัฒนธรรม,3,0,None
SI389,3,สัมมนาหัวข้อเฉพาะทางสังคมศาสตร์และมนุษยศาสตร์,3,0,None
SI431,2,ความมั่นคงและนโยบายต่างประเทศของจีน,3,1,"SI213,SI214"
SI432,2,จีนกับความท้าทายทางด้านสิ่งแวดล้อม,3,1,"SI213,SI214"
SI433,2,จีนโพ้นทะเล การย้านถิ่น อัตลักษณ์ และโลกาภิวัตน์,3,1,"SI213,SI214"
SI434,2,สัมมนาจีนศึกษา,3,1,"SI213,SI214"
SI441,2,อนุภูมิภาคลุ่มแม่น้ำโขงกับความท้าทายทางด้านสิ่งแวดล้อม,3,0,None
SI442,2,การพัฒนาและการจัดการโลจิสติกส์และห่วงโซ่อุปทาน,3,0,None
SI443,2,ระบบสารสนเทศเพื่อการพัฒนาในอนุภูมิภาคลุ่มแม่น้ำโขง,3,0,None
SI444,2,สัมมนาอนุภูมิภาคลุ่มแม่น้ำโขงศึกษา,3,0,None
SI451,2,ประวัติศาสตร์และโบราณคดีชุมชนเพื่อบูรณาการสู่พิพิธภัณฑ์,3,0,None
SI452,2,อุตสาหกรรมวัฒนธรรม,3,0,None
SI453,2,เทคโนโลยีกับการจัดการทรัพยากรทางสังคมและวัฒนธรรม,3,0,None
SI454,2,สัมมนาการจัดการทรัพยากรทางสังคมและวัฒนธรรม,3,0,None
SI461,2,กฎหมายสำหรับธุรกิจบริการและการท่องเที่ยว,3,0,None
SI462,2,การท่องเที่ยวเชิงสร้างสรรค์และแนวโน้มการจัดการท่องเที่ยวในอนาคต,3,0,None
SI463,2,เทคโนโลยีกับพลวัตอุตสาหกรรมการท่องเที่ยว,3,0,None
SI464,2,สัมมนาการพัฒนาการท่องเที่ยว,3,0,None
SI471,2,วัฒนธรรมการดำเนินธุรกิจในจีน,3,0,None
SI472,2,อุตสาหกรรมการท่องเที่ยวของจีน,3,0,None
SI473,2,ชาติพันธุ์ รัฐ และโลกาภิวัตน์,3,0,None
SI474,2,การท่องเที่ยวในเอเชียตะวันออกเฉียงใต้,3,0,None
SI475,2,มนุษย์ สังคมและวัฒนธรรมในวรรณกรรมและภาพยนตร์,3,0,None
SI476,2,ระบบอาหารกับโลกาภิวัตน์,3,0,None
SI477,2,หลักนันทนาการเพื่อการท่องเที่ยว,3,0,None
SI478,2,การบริหารกิจกรรมและการฝึกอบรม,3,0,None
SI500,2,ภาคนิพนธ์,4,0,None
SI501,2,กระบวนการทำงานในชุมชน,3,0,None
SI502,2,ฝึกประสบการณ์ภาคปฏิบัติสหวิทยาการ,3,0,None
SI503,2,การเตรียมความพร้อมสหกิจศึกษา,1,0,None
SI504,2,สหกิจศึกษา,6,0,None
SP171,1,ภาษาสเปน 1,3,0,None
SP172,1,ภาษาสเปน 2,3,1,SP171
TH162,1,การเขียนรายงานวิชาการ,3,0,None
TU050,1,การพัฒนาทักษะภาษาอังกฤษ,3,0,None
TU100,1,พลเมืองกับการลงมือแก้ปัญหา,3,0,None
TU101,1,โลก อาเซียน และไทย,3,0,None
TU102,1,ทักษะชีวิตทางสังคม,3,0,None
TU103,1,ชีวิตกับความยั่งยืน,3,0,None
TU104,1,การคิด อ่าน และเขียนอย่างมีวิจารณญาณ,3,0,None
TU105,1,ทักษะการสื่อสารด้วยภาษาอังกฤษ,3,0,None
TU106,1,ความคิดสร้างสรรค์และการสื่อสาร,3,0,None
TU107,1,ทักษะดิจิทัลกับการแก้ปัญหา,3,0,None
TU108,1,การพัฒนาและจัดการตนเอง,3,0,None
TU109,1,นวัตกรรมกับกระบวนคิดผู้ประกอบการ,3,0,None
TU111,1,ประเทศไทยในมิติทางประวัติศาสตร์ สังคม และวัฒนธรรม,3,0,None
TU112,1,มรดกโลกก่อนสมัยใหม่,3,0,None
TU115,1,มนุษย์กับผลงานสร้างสรรค์ด้านวรรณกรรม,3,0,None
TU116,1,มนุษย์กับศิลปะ ทัศนศิลป์ ดนตรี และศิลปะการแสดง,3,0,None
TU117,1,พัฒนาการของโลกสมัยใหม่,3,0,None
TU121,1,มนุษย์กับสังคม,3,0,None
TU122,1,กฎหมายในชีวิตประจำวัน,3,0,None
TU124,1,สังคมกับเศรษฐกิจ,3,0,None
TU131,1,มนุษย์กับวิทยาศาสตร์กายภาพ,3,0,None
TU142,1,มนุษย์กับวิทยาศาสตร์ชีวภาพ,3,0,None
TU143,1,มนุษย์กับสิ่งแวดล้อม,3,0,None
TU151,1,คณิตศาสตร์ทั่วไประดับมหาวิทยาลัย,3,0,None
TU153,1,ความรู้ทั่วไปเกี่ยวกับคอมพิวเตอร์,3,0,None
TU155,1,สถิติพื้นฐาน,3,0,None
TU156,1,คอมพิวเตอร์และการเขียนโปรแกรมเบื้องต้น,3,0,None
BA291,3,ธุรกิจเบื้องต้น,3,0,None
PY252,3,จิตวิทยาความสัมพันธ์ระหว่างบุคคล,3,0,None
